"indicador"|"ccaa"|"n_dias_cirugia"|"capacidad"|"varianza"
artroscopias|"16"|238|1255|8.174041768606177
artroscopias|"17"|158|279|0.9320728855921951
artroscopias|"02"|249|875|5.6943580774711755
artroscopias|"10"|273|1964|18.502612583494923
artroscopias|"05"|244|687|2.4967111920663836
artroscopias|"14"|211|716|4.915955766192732
artroscopias|"06"|119|216|1.2367184161800313
artroscopias|"15"|219|844|6.767542206024046
artroscopias|"01"|278|2610|33.48030023634522
artroscopias|"08"|219|684|4.0351891416362955
artroscopias|"04"|178|450|2.1941217545864293
prostatectomias|"13"|307|4223|72.91071086415022
prostatectomias|"11"|215|534|2.2041730058682885
prostatectomias|"05"|280|660|2.223246287762417
prostatectomias|"10"|301|2226|24.91317829457364
prostatectomias|"02"|241|775|3.628250345781465
prostatectomias|"17"|134|188|0.4679609471439793
prostatectomias|"16"|254|1511|12.665354330708665
prostatectomias|"15"|123|234|1.974010395841663
prostatectomias|"06"|159|254|0.5837910994347584
prostatectomias|"14"|228|797|6.762095216013601
prostatectomias|"04"|200|507|2.109321608040201
prostatectomias|"01"|324|2034|16.071207430340554
prostatectomias|"08"|231|605|3.4890269151138718
protesis_rodilla|"04"|254|742|3.0767794341912795
protesis_rodilla|"13"|333|7164|221.78069032888308
protesis_rodilla|"11"|257|1321|8.527176556420233
protesis_rodilla|"15"|263|826|3.1213537282674952
protesis_rodilla|"06"|217|445|1.0853814644137225
protesis_rodilla|"10"|321|4419|86.10461448598129
protesis_rodilla|"05"|276|777|2.89300395256917
protesis_rodilla|"16"|269|2638|29.111746102202744
protesis_rodilla|"02"|238|1325|11.588288479948945
protesis_rodilla|"17"|219|406|0.9877256922625779
protesis_rodilla|"08"|282|1435|9.92449711011837
protesis_rodilla|"01"|336|7166|212.83578535891968
protesis_rodilla|"14"|241|907|6.531327800829875
hallux_valgus|"10"|267|2592|33.27523865844387
hallux_valgus|"05"|156|270|0.9593052109181143
hallux_valgus|"16"|218|882|5.168393015685114
hallux_valgus|"02"|198|554|4.2330923447674715
hallux_valgus|"17"|150|266|1.3442505592841163
hallux_valgus|"14"|174|413|2.813401102916749
hallux_valgus|"15"|175|327|1.2182594417077175
hallux_valgus|"06"|104|168|0.7826736370425689
hallux_valgus|"01"|263|4147|77.40019737033057
hallux_valgus|"08"|236|887|5.1712044716913095
hallux_valgus|"13"|273|3563|58.25471342383107
hallux_valgus|"11"|197|452|1.8924686625919407
hallux_valgus|"04"|131|217|0.9810921902524956
protesis_cadera|"16"|264|2456|26.964857702500293
protesis_cadera|"17"|189|323|0.7499718563548349
protesis_cadera|"02"|229|854|4.821113920171611
protesis_cadera|"15"|245|628|2.1240548678487783
protesis_cadera|"06"|214|461|1.5676582861655914
protesis_cadera|"05"|228|509|1.7827305046757862
protesis_cadera|"10"|314|2740|35.45190370566329
protesis_cadera|"04"|225|503|1.64515873015873
protesis_cadera|"14"|221|552|2.632949403537638
protesis_cadera|"13"|334|3901|62.488653323982675
protesis_cadera|"11"|207|467|1.7156793771399088
protesis_cadera|"08"|250|760|3.1309236947791157
protesis_cadera|"01"|326|3574|54.22633317602643
cataratas|"06"|202|1909|37.910472390522635
cataratas|"15"|245|4347|87.56885245901638
cataratas|"04"|246|5763|100.40074664011946
cataratas|"01"|295|61676|15359.154779199811
cataratas|"08"|261|14709|730.7917771883289
cataratas|"16"|248|23167|1492.1385496930911
cataratas|"17"|228|3381|100.1159865522838
cataratas|"02"|291|14078|692.6359284275389
