"ccaa_cd"|"ccaa_st"|"proceso"|"mes_año"|"n_pac_leq_estructural"|"te_1000hab"|"tiempo_medio"|"perc_pacs_over_180d"
"01"|"ANDALUCÍA"|"tunel_carpiano"|2023-12-31 00:00:00.000|3040.0|0.37|113.0|22.8
"02"|"ARAGON"|"tunel_carpiano"|2023-12-31 00:00:00.000|552.0|0.41|127.0|21.7
"03"|"PDO DE ASTURIAS"|"tunel_carpiano"|2023-12-31 00:00:00.000|710.0|0.71|79.0|4.8
"04"|"BALEARES"|"tunel_carpiano"|2023-12-31 00:00:00.000|174.0|0.14|81.0|8.6
"05"|"CANARIAS"|"tunel_carpiano"|2023-12-31 00:00:00.000|819.0|0.39|84.0|8.5
"06"|"CANTABRIA"|"tunel_carpiano"|2023-12-31 00:00:00.000|548.0|0.96|177.0|47.4
"07"|"CASTILLA Y LEON"|"tunel_carpiano"|2023-12-31 00:00:00.000|522.0|0.23|63.0|6.3
"08"|"CASTILLA-LA MANCHA"|"tunel_carpiano"|2023-12-31 00:00:00.000|526.0|0.27|75.0|
"09"|"CATALUÑA"|"tunel_carpiano"|2023-12-31 00:00:00.000|3765.0|0.49|118.0|25.4
"10"|"COMUNIDAD VALENCIANA"|"tunel_carpiano"|2023-12-31 00:00:00.000|877.0|0.18|44.0|3.2
"11"|"EXTREMADURA"|"tunel_carpiano"|2023-12-31 00:00:00.000|533.0|0.52|98.0|14.8
"12"|"GALICIA"|"tunel_carpiano"|2023-12-31 00:00:00.000|1033.0|0.4|53.0|0.6
"13"|"MADRID"|"tunel_carpiano"|2023-12-31 00:00:00.000|1069.0|0.15|43.0|0.7
"14"|"MURCIA"|"tunel_carpiano"|2023-12-31 00:00:00.000|905.0|0.59|88.0|13.4
"15"|"C. FORAL DE NAVARRA"|"tunel_carpiano"|2023-12-31 00:00:00.000|240.0|0.37|78.0|8.8
"16"|"PAÍS VASCO"|"tunel_carpiano"|2023-12-31 00:00:00.000|594.0|0.26|63.0|1.7
"17"|"RIOJA"|"tunel_carpiano"|2023-12-31 00:00:00.000|182.0|0.57|95.0|12.6
"01"|"ANDALUCÍA"|"varices"|2023-12-31 00:00:00.000|2002.0|0.24|136.0|33.8
"02"|"ARAGON"|"varices"|2023-12-31 00:00:00.000|789.0|0.59|143.0|29.5
"03"|"PDO DE ASTURIAS"|"varices"|2023-12-31 00:00:00.000|704.0|0.7|109.0|15.6
"04"|"BALEARES"|"varices"|2023-12-31 00:00:00.000|89.0|0.07|185.0|36.0
"05"|"CANARIAS"|"varices"|2023-12-31 00:00:00.000|387.0|0.18|99.0|20.9
"06"|"CANTABRIA"|"varices"|2023-12-31 00:00:00.000|378.0|0.66|174.0|47.9
"07"|"CASTILLA Y LEON"|"varices"|2023-12-31 00:00:00.000|647.0|0.28|137.0|32.1
"08"|"CASTILLA-LA MANCHA"|"varices"|2023-12-31 00:00:00.000|225.0|0.11|83.0|8.4
"09"|"CATALUÑA"|"varices"|2023-12-31 00:00:00.000|6054.0|0.79|139.0|33.9
"10"|"COMUNIDAD VALENCIANA"|"varices"|2023-12-31 00:00:00.000|704.0|0.14|46.0|2.4
"11"|"EXTREMADURA"|"varices"|2023-12-31 00:00:00.000|104.0|0.1|102.0|10.6
"12"|"GALICIA"|"varices"|2023-12-31 00:00:00.000|1223.0|0.47|53.0|
"13"|"MADRID"|"varices"|2023-12-31 00:00:00.000|2104.0|0.3|59.0|0.3
"14"|"MURCIA"|"varices"|2023-12-31 00:00:00.000|278.0|0.18|84.0|10.4
"15"|"C. FORAL DE NAVARRA"|"varices"|2023-12-31 00:00:00.000|121.0|0.18|157.0|45.5
"16"|"PAÍS VASCO"|"varices"|2023-12-31 00:00:00.000|403.0|0.18|58.0|
"17"|"RIOJA"|"varices"|2023-12-31 00:00:00.000|157.0|0.49|56.0|0.6
"18"|"CEUTA"|"varices"|2023-12-31 00:00:00.000|23.0|0.31|217.0|69.6
"19"|"MELILLA"|"varices"|2023-12-31 00:00:00.000|4.0|0.06||
